Date,Hamburg,Cologne,Stuttgart,Berlin
1/1/2018,6.9,6.9,7.2,8.1
1/2/2018,5.3,5.8,4.5,4.1
1/3/2018,6.2,8.1,6.5,4.9
1/4/2018,6.5,8.5,6.8,6.6
1/5/2018,6,8.1,7.4,6.7
1/6/2018,4.8,4.8,6.3,4.8
1/7/2018,0.5,5.1,4.4,0.9
1/8/2018,-1.6,4.5,5.4,-1.7
1/9/2018,1.3,5.6,4.4,1.9
1/10/2018,3.2,7.7,4.9,1.9
1/11/2018,1.9,6.9,3.8,1.6
1/12/2018,2,5.2,2.8,1.2
1/13/2018,1,5.3,3.1,0
1/14/2018,-0.3,3,0.6,-1.8
1/15/2018,1.5,4.4,1.8,-0.2
1/16/2018,3.3,4.5,5,2.4
1/17/2018,1.9,2.8,2.1,1.5
1/18/2018,1.4,5.6,4.4,2.2
1/19/2018,1.7,3.5,3.3,2.3
1/20/2018,1.6,2.2,2,1.3
1/21/2018,-0.7,2.5,1.8,0.1
1/22/2018,0.8,5.3,4.8,0.4
1/23/2018,5.3,7.5,5.9,1.7
1/24/2018,11.4,11.7,7.8,8.4
1/25/2018,7.6,8.2,8.2,8.8
1/26/2018,6.5,6.2,6.5,6.6
1/27/2018,5.6,4.5,5.8,5.6
1/28/2018,8.1,8.1,7.1,7.4
1/29/2018,8.5,9.7,7.4,9.2
1/30/2018,4.9,4.8,6.6,4.6
1/31/2018,5.3,7.4,6.9,4.9
2/1/2018,2.8,2.9,3.4,3.8
2/2/2018,3.2,3.3,1.4,2.6
2/3/2018,0,2.6,1.5,0.9
2/4/2018,0.2,0.3,0.4,-0.7
2/5/2018,0.4,0.1,0.2,-1.4
2/6/2018,-3.2,-1.1,0,-3.6
2/7/2018,-4.6,-1,-1,-1.9
2/8/2018,-4,-3.4,-0.1,-4.3
2/9/2018,-2.7,-1.9,0.5,-2.8
2/10/2018,-1.6,1.6,1.4,-0.1
2/11/2018,2.4,2.7,2.4,1.6
2/12/2018,1.8,1.5,0.5,1.5
2/13/2018,1.3,0.9,-1.1,0.4
2/14/2018,0.1,0.8,-1.9,-1.3
2/15/2018,1.1,2,1,-0.9
2/16/2018,3.2,2.5,4.3,3.1
2/17/2018,2.1,1.2,0,2.3
